pair_id,embryo_id,set_type,set_rank,genotype,bin_src_hpf,bin_tgt_hpf,frame_src,frame_tgt,stage_src_hpf,stage_tgt_hpf,analysis_use,is_control_pair,src_embryo_id,tgt_embryo_id
20251205_C01_e01__30to32,20251205_C01_e01,mutant,2,cep290_homozygous,30.0,32.0,24,29,30.14514263642578,32.040464199902345,True,False,,
20251205_C01_e01__32to34,20251205_C01_e01,mutant,2,cep290_homozygous,32.0,34.0,29,34,32.040464199902345,33.9409186706543,True,False,,
20251205_C01_e01__34to36,20251205_C01_e01,mutant,2,cep290_homozygous,34.0,36.0,34,39,33.9409186706543,35.83844070600586,True,False,,
20251205_C01_e01__36to38,20251205_C01_e01,mutant,2,cep290_homozygous,36.0,38.0,39,45,35.83844070600586,38.11538743945313,True,False,,
20251205_C01_e01__38to40,20251205_C01_e01,mutant,2,cep290_homozygous,38.0,40.0,45,50,38.11538743945313,40.01158151696777,True,False,,
20251205_C01_e01__40to42,20251205_C01_e01,mutant,2,cep290_homozygous,40.0,42.0,50,55,40.01158151696777,41.9118314357666,True,False,,
20251205_C01_e01__42to44,20251205_C01_e01,mutant,2,cep290_homozygous,42.0,44.0,55,60,41.9118314357666,43.813126406689456,True,False,,
20251205_C01_e01__44to46,20251205_C01_e01,mutant,2,cep290_homozygous,44.0,46.0,60,66,43.813126406689456,46.1006810423584,True,False,,
20251205_C01_e01__46to48,20251205_C01_e01,mutant,2,cep290_homozygous,46.0,48.0,66,70,46.1006810423584,47.62101153120118,True,False,,
20251112_C12_e01__24to26,20251112_C12_e01,mutant,3,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_C12_e01__26to28,20251112_C12_e01,mutant,3,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_C12_e01__28to30,20251112_C12_e01,mutant,3,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_C12_e01__30to32,20251112_C12_e01,mutant,3,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_C12_e01__32to34,20251112_C12_e01,mutant,3,cep290_homozygous,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_C12_e01__34to36,20251112_C12_e01,mutant,3,cep290_homozygous,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_C12_e01__36to38,20251112_C12_e01,mutant,3,cep290_homozygous,36.0,38.0,19,22,36.27026952468262,38.03134323283692,True,False,,
20251112_C12_e01__38to40,20251112_C12_e01,mutant,3,cep290_homozygous,38.0,40.0,22,25,38.03134323283692,39.79477616713867,True,False,,
20251112_C12_e01__40to42,20251112_C12_e01,mutant,3,cep290_homozygous,40.0,42.0,25,29,39.79477616713867,42.147866540869146,True,False,,
20251112_C12_e01__42to44,20251112_C12_e01,mutant,3,cep290_homozygous,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_C12_e01__44to46,20251112_C12_e01,mutant,3,cep290_homozygous,44.0,46.0,32,36,43.906451166162114,46.25089496025391,True,False,,
20251112_C12_e01__46to48,20251112_C12_e01,mutant,3,cep290_homozygous,46.0,48.0,36,38,46.25089496025391,47.423855142431634,True,False,,
20251112_B09_e01__24to26,20251112_B09_e01,mutant,4,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_B09_e01__26to28,20251112_B09_e01,mutant,4,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_B09_e01__28to30,20251112_B09_e01,mutant,4,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_B09_e01__30to32,20251112_B09_e01,mutant,4,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_B09_e01__32to34,20251112_B09_e01,mutant,4,cep290_homozygous,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_B09_e01__34to36,20251112_B09_e01,mutant,4,cep290_homozygous,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_B09_e01__36to38,20251112_B09_e01,mutant,4,cep290_homozygous,36.0,38.0,19,22,36.27026952468262,38.03134323283692,True,False,,
20251112_B09_e01__38to40,20251112_B09_e01,mutant,4,cep290_homozygous,38.0,40.0,22,25,38.03134323283692,39.79477616713867,True,False,,
20251112_B09_e01__40to42,20251112_B09_e01,mutant,4,cep290_homozygous,40.0,42.0,25,29,39.79477616713867,42.147866540869146,True,False,,
20251112_B09_e01__42to44,20251112_B09_e01,mutant,4,cep290_homozygous,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_B09_e01__44to46,20251112_B09_e01,mutant,4,cep290_homozygous,44.0,46.0,32,36,43.906451166162114,46.25089496025391,True,False,,
20251112_B09_e01__46to48,20251112_B09_e01,mutant,4,cep290_homozygous,46.0,48.0,36,38,46.25089496025391,47.423855142431634,True,False,,
20251205_C09_e01__24to26,20251205_C09_e01,mutant,5,cep290_homozygous,24.0,26.0,8,13,24.06824309157715,25.96444057141113,True,False,,
20251205_C09_e01__26to28,20251205_C09_e01,mutant,5,cep290_homozygous,26.0,28.0,13,18,25.96444057141113,27.87057764099121,True,False,,
20251205_C09_e01__28to30,20251205_C09_e01,mutant,5,cep290_homozygous,28.0,30.0,18,24,27.87057764099121,30.14514263642578,True,False,,
20251205_C09_e01__30to32,20251205_C09_e01,mutant,5,cep290_homozygous,30.0,32.0,24,29,30.14514263642578,32.040464199902345,True,False,,
20251205_C09_e01__32to34,20251205_C09_e01,mutant,5,cep290_homozygous,32.0,34.0,29,34,32.040464199902345,33.9409186706543,True,False,,
20251205_C09_e01__34to36,20251205_C09_e01,mutant,5,cep290_homozygous,34.0,36.0,34,39,33.9409186706543,35.83844070600586,True,False,,
20251205_C09_e01__36to38,20251205_C09_e01,mutant,5,cep290_homozygous,36.0,38.0,39,45,35.83844070600586,38.11538743945313,True,False,,
20251205_C09_e01__38to40,20251205_C09_e01,mutant,5,cep290_homozygous,38.0,40.0,45,50,38.11538743945313,40.01158151696777,True,False,,
20251205_C09_e01__40to42,20251205_C09_e01,mutant,5,cep290_homozygous,40.0,42.0,50,55,40.01158151696777,41.9118314357666,True,False,,
20251205_C09_e01__42to44,20251205_C09_e01,mutant,5,cep290_homozygous,42.0,44.0,55,60,41.9118314357666,43.813126406689456,True,False,,
20251205_C09_e01__44to46,20251205_C09_e01,mutant,5,cep290_homozygous,44.0,46.0,60,66,43.813126406689456,46.1006810423584,True,False,,
20251205_C09_e01__46to48,20251205_C09_e01,mutant,5,cep290_homozygous,46.0,48.0,66,70,46.1006810423584,47.62101153120118,True,False,,
20251112_G09_e01__24to26,20251112_G09_e01,mutant,6,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_G09_e01__26to28,20251112_G09_e01,mutant,6,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_G09_e01__28to30,20251112_G09_e01,mutant,6,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_G09_e01__30to32,20251112_G09_e01,mutant,6,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_G09_e01__32to34,20251112_G09_e01,mutant,6,cep290_homozygous,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_G09_e01__34to36,20251112_G09_e01,mutant,6,cep290_homozygous,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_G09_e01__36to38,20251112_G09_e01,mutant,6,cep290_homozygous,36.0,38.0,19,21,36.27026952468262,37.44432454638672,True,False,,
20251112_G09_e01__38to40,20251112_G09_e01,mutant,6,cep290_homozygous,38.0,40.0,21,25,37.44432454638672,39.79477616713867,True,False,,
20251112_G09_e01__40to42,20251112_G09_e01,mutant,6,cep290_homozygous,40.0,42.0,25,29,39.79477616713867,42.147866540869146,True,False,,
20251112_G09_e01__42to44,20251112_G09_e01,mutant,6,cep290_homozygous,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_G09_e01__44to46,20251112_G09_e01,mutant,6,cep290_homozygous,44.0,46.0,32,36,43.906451166162114,46.25089496025391,True,False,,
20251112_G09_e01__46to48,20251112_G09_e01,mutant,6,cep290_homozygous,46.0,48.0,36,38,46.25089496025391,47.423855142431634,True,False,,
20251112_F11_e01__24to26,20251112_F11_e01,mutant,7,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_F11_e01__26to28,20251112_F11_e01,mutant,7,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_F11_e01__28to30,20251112_F11_e01,mutant,7,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_F11_e01__30to32,20251112_F11_e01,mutant,7,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_F11_e01__32to34,20251112_F11_e01,mutant,7,cep290_homozygous,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_F11_e01__34to36,20251112_F11_e01,mutant,7,cep290_homozygous,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_F11_e01__36to38,20251112_F11_e01,mutant,7,cep290_homozygous,36.0,38.0,19,22,36.27026952468262,38.03134323283692,True,False,,
20251112_F11_e01__38to40,20251112_F11_e01,mutant,7,cep290_homozygous,38.0,40.0,22,25,38.03134323283692,39.79477616713867,True,False,,
20251112_F11_e01__40to42,20251112_F11_e01,mutant,7,cep290_homozygous,40.0,42.0,25,29,39.79477616713867,42.147866540869146,True,False,,
20251112_F11_e01__42to44,20251112_F11_e01,mutant,7,cep290_homozygous,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_F11_e01__44to46,20251112_F11_e01,mutant,7,cep290_homozygous,44.0,46.0,32,36,43.906451166162114,46.25089496025391,True,False,,
20251112_F11_e01__46to48,20251112_F11_e01,mutant,7,cep290_homozygous,46.0,48.0,36,38,46.25089496025391,47.423855142431634,True,False,,
20251205_F01_e01__24to26,20251205_F01_e01,mutant,8,cep290_homozygous,24.0,26.0,8,13,24.06824309157715,25.96444057141113,True,False,,
20251205_F01_e01__26to28,20251205_F01_e01,mutant,8,cep290_homozygous,26.0,28.0,13,18,25.96444057141113,27.87057764099121,True,False,,
20251205_F01_e01__28to30,20251205_F01_e01,mutant,8,cep290_homozygous,28.0,30.0,18,24,27.87057764099121,30.14514263642578,True,False,,
20251205_F01_e01__30to32,20251205_F01_e01,mutant,8,cep290_homozygous,30.0,32.0,24,29,30.14514263642578,32.040464199902345,True,False,,
20251205_F01_e01__32to34,20251205_F01_e01,mutant,8,cep290_homozygous,32.0,34.0,29,34,32.040464199902345,33.9409186706543,True,False,,
20251205_F01_e01__34to36,20251205_F01_e01,mutant,8,cep290_homozygous,34.0,36.0,34,39,33.9409186706543,35.83844070600586,True,False,,
20251205_F01_e01__36to38,20251205_F01_e01,mutant,8,cep290_homozygous,36.0,38.0,39,45,35.83844070600586,38.11538743945313,True,False,,
20251205_F01_e01__38to40,20251205_F01_e01,mutant,8,cep290_homozygous,38.0,40.0,45,50,38.11538743945313,40.01158151696777,True,False,,
20251205_F01_e01__40to42,20251205_F01_e01,mutant,8,cep290_homozygous,40.0,42.0,50,55,40.01158151696777,41.9118314357666,True,False,,
20251205_F01_e01__42to44,20251205_F01_e01,mutant,8,cep290_homozygous,42.0,44.0,55,60,41.9118314357666,43.813126406689456,True,False,,
20251205_F01_e01__44to46,20251205_F01_e01,mutant,8,cep290_homozygous,44.0,46.0,60,66,43.813126406689456,46.1006810423584,True,False,,
20251205_F01_e01__46to48,20251205_F01_e01,mutant,8,cep290_homozygous,46.0,48.0,66,70,46.1006810423584,47.62101153120118,True,False,,
20251112_H08_e01__24to26,20251112_H08_e01,mutant,9,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_H08_e01__26to28,20251112_H08_e01,mutant,9,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_H08_e01__28to30,20251112_H08_e01,mutant,9,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_H08_e01__30to32,20251112_H08_e01,mutant,9,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
20251112_H08_e01__32to34,20251112_H08_e01,mutant,9,cep290_homozygous,32.0,34.0,12,15,32.16372909223633,33.923683731762694,True,False,,
20251112_H08_e01__34to36,20251112_H08_e01,mutant,9,cep290_homozygous,34.0,36.0,15,19,33.923683731762694,36.27026952468262,True,False,,
20251112_H08_e01__36to38,20251112_H08_e01,mutant,9,cep290_homozygous,36.0,38.0,19,22,36.27026952468262,38.03134323283692,True,False,,
20251112_H08_e01__38to40,20251112_H08_e01,mutant,9,cep290_homozygous,38.0,40.0,22,25,38.03134323283692,39.79477616713867,True,False,,
20251112_H08_e01__40to42,20251112_H08_e01,mutant,9,cep290_homozygous,40.0,42.0,25,29,39.79477616713867,42.147866540869146,True,False,,
20251112_H08_e01__42to44,20251112_H08_e01,mutant,9,cep290_homozygous,42.0,44.0,29,32,42.147866540869146,43.906451166162114,True,False,,
20251112_H08_e01__44to46,20251112_H08_e01,mutant,9,cep290_homozygous,44.0,46.0,32,36,43.906451166162114,46.25089496025391,True,False,,
20251112_H08_e01__46to48,20251112_H08_e01,mutant,9,cep290_homozygous,46.0,48.0,36,38,46.25089496025391,47.423855142431634,True,False,,
20251205_A04_e01__24to26,20251205_A04_e01,mutant,10,cep290_homozygous,24.0,26.0,8,13,24.06824309157715,25.96444057141113,True,False,,
20251205_A04_e01__26to28,20251205_A04_e01,mutant,10,cep290_homozygous,26.0,28.0,13,18,25.96444057141113,27.87057764099121,True,False,,
20251205_A04_e01__28to30,20251205_A04_e01,mutant,10,cep290_homozygous,28.0,30.0,18,24,27.87057764099121,30.14514263642578,True,False,,
20251205_A04_e01__30to32,20251205_A04_e01,mutant,10,cep290_homozygous,30.0,32.0,24,29,30.14514263642578,32.040464199902345,True,False,,
20251205_A04_e01__32to34,20251205_A04_e01,mutant,10,cep290_homozygous,32.0,34.0,29,34,32.040464199902345,33.9409186706543,True,False,,
20251205_A04_e01__34to36,20251205_A04_e01,mutant,10,cep290_homozygous,34.0,36.0,34,39,33.9409186706543,35.83844070600586,True,False,,
20251205_A04_e01__36to38,20251205_A04_e01,mutant,10,cep290_homozygous,36.0,38.0,39,45,35.83844070600586,38.11538743945313,True,False,,
20251205_A04_e01__38to40,20251205_A04_e01,mutant,10,cep290_homozygous,38.0,40.0,45,50,38.11538743945313,40.01158151696777,True,False,,
20251205_A04_e01__40to42,20251205_A04_e01,mutant,10,cep290_homozygous,40.0,42.0,50,55,40.01158151696777,41.9118314357666,True,False,,
20251205_A04_e01__42to44,20251205_A04_e01,mutant,10,cep290_homozygous,42.0,44.0,55,60,41.9118314357666,43.813126406689456,True,False,,
20251205_A04_e01__44to46,20251205_A04_e01,mutant,10,cep290_homozygous,44.0,46.0,60,66,43.813126406689456,46.1006810423584,True,False,,
20251205_A04_e01__46to48,20251205_A04_e01,mutant,10,cep290_homozygous,46.0,48.0,66,70,46.1006810423584,47.62101153120118,True,False,,
20251112_A10_e01__24to26,20251112_A10_e01,mutant,11,cep290_homozygous,24.0,26.0,0,2,25.0,26.214503708520507,True,False,,
20251112_A10_e01__26to28,20251112_A10_e01,mutant,11,cep290_homozygous,26.0,28.0,2,5,26.214503708520507,27.971825818896484,True,False,,
20251112_A10_e01__28to30,20251112_A10_e01,mutant,11,cep290_homozygous,28.0,30.0,5,8,27.971825818896484,29.728670437890624,True,False,,
20251112_A10_e01__30to32,20251112_A10_e01,mutant,11,cep290_homozygous,30.0,32.0,8,12,29.728670437890624,32.16372909223633,True,False,,
